product_id,product_name,category,subcategory,brand,selling_price,product_cost,product_rating,launch_date
1,Noise ColorFit Pro 4 128GB,Electronics,Wearables,Noise,3822.34,2453.73,3.34,2023-12-11
2,Philips Induction Cooktop 128GB,Home Appliances,Kitchen,Philips,6733.54,5552.56,3.78,2022-04-03
3,Metal Bookshelf Pro,Furniture,Office,LG,11616.64,9089.66,3.34,2024-04-06
4,Apple iPhone 12 Black,Mobiles,Smartphones,Apple,121078.87,75780.57,3.93,2023-07-18
5,Nivea Roll-On Deodorant,Beauty,Skincare,Nivea,331.76,221.05,4.17,2023-04-23
6,Prestige Sandwich Maker,Home Appliances,Kitchen,Prestige,3858.92,2378.16,4.63,2023-11-04
7,Noise Ultra 2 Black,Electronics,Wearables,Noise,2327.69,1956.06,4.17,2023-04-13
8,Tata Salt 1kg Blue,Grocery,Staples,Prestige,822.97,571.13,3.45,2024-03-12
9,HP Chromebook 14 Edition,Laptops,Budget Laptops,HP,36017.37,28412.55,4.46,2024-03-28
10,Aashirvaad Atta 10kg Blue,Grocery,Staples,Prestige,661.22,443.5,4.43,2023-10-08
11,LG Direct Cool Refrigerator Pro,Home Appliances,Cooling,LG,23533.14,16994.41,4.59,2022-03-03
12,Metal Bookshelf,Furniture,Office,LG,13993.18,10954.46,3.87,2024-04-09
13,Noise Pulse 2 Max Silver,Electronics,Wearables,Noise,3885.29,3145.18,3.01,2022-06-24
14,Puma Track Pants Pack of 2,Fashion,Apparel,Puma,2125.0,1355.86,3.88,2022-04-02
15,Puma Track Pants,Fashion,Apparel,Puma,1095.25,929.75,4.23,2023-04-21
16,Apple MacBook Pro M3 Silver,Laptops,Thin & Light,Apple,85267.12,70183.9,2.87,2022-07-05
17,Fortune Sunflower Oil 5L V2,Grocery,Staples,Prestige,526.33,388.13,4.87,2022-05-04
18,Nivea Roll-On Deodorant Blue,Beauty,Skincare,Nivea,219.13,156.56,4.67,2023-01-24
19,boAt Rockerz 255 Pro,Electronics,Audio,boAt,2902.38,2334.56,3.63,2024-03-17
20,Samsung Galaxy M34 Pack of 2,Mobiles,Smartphones,Samsung,21536.92,18338.03,3.26,2023-04-19
